Player,Bowler Link,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
OF Smith,https://www.espncricinfo.com/cricketers/odean-smith-820691,2022-2022,3,3,54,-,85,2,1/31,42.50,9.44,27.0,-,-,-,-
SPD Smith,https://www.espncricinfo.com/cricketers/steven-smith-267192,2022-2022,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
IS Sodhi,https://www.espncricinfo.com/cricketers/ish-sodhi-559066,2022-2022,5,5,116,-,130,6,2/21,21.66,6.72,19.3,-,-,-,-
Soumya Sarkar,https://www.espncricinfo.com/cricketers/soumya-sarkar-436677,2022-2022,4,1,18,-,29,1,1/29,29.00,9.66,18.0,-,-,2,-
TG Southee,https://www.espncricinfo.com/cricketers/tim-southee-232364,2022-2022,5,5,104,1,114,7,3/6,16.28,6.57,14.8,-,-,1,-
MA Starc,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,2022-2022,3,3,72,1,102,3,2/43,34.00,8.50,24.0,-,-,-,-
PR Stirling,https://www.espncricinfo.com/cricketers/paul-stirling-303427,2022-2022,7,-,0,-,-,-,-,0.00,-,-,-,-,-,-
MP Stoinis,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,2022-2022,4,4,54,-,87,1,1/6,87.00,9.66,54.0,-,-,-,-
BA Stokes,https://www.espncricinfo.com/cricketers/ben-stokes-311158,2022-2022,6,6,98,-,111,6,2/19,18.50,6.79,16.3,-,-,4,-
T Stubbs,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978,2022-2022,4,-,0,-,-,-,-,0.00,-,-,-,-,2,-
Taskin Ahmed,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506,2022-2022,5,5,108,1,131,8,4/25,16.37,7.27,13.5,-,-,1,-
HT Tector,https://www.espncricinfo.com/cricketers/harry-tector-961407,2022-2022,7,-,0,-,-,-,-,0.00,-,-,-,-,4,-
M Theekshana,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,2022-2022,8,8,181,-,202,9,2/15,22.44,6.69,20.1,-,-,-,-
R Trumpelmann,https://www.espncricinfo.com/cricketers/ruben-trumpelmann-698317,2022-2022,1,1,24,-,22,-,-,0.00,5.50,-,-,-,1,-
LJ Tucker,https://www.espncricinfo.com/cricketers/lorcan-tucker-928057,2022-2022,7,-,0,-,-,-,-,0.00,-,-,-,-,5,1
Usman Ghani,https://www.espncricinfo.com/cricketers/usman-ghani-711559,2022-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-
LV van Beek,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,2022-2022,6,6,98,-,125,3,2/17,41.66,7.65,32.6,-,-,4,-
T van der Gugten,https://www.espncricinfo.com/cricketers/timm-van-der-gugten-333782,2022-2022,2,2,36,-,60,1,1/31,60.00,10.00,36.0,-,-,-,-
RE van der Merwe,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,2022-2022,6,6,66,-,75,2,1/6,37.50,6.81,33.0,-,-,2,-
M van Lingen,https://www.espncricinfo.com/cricketers/michael-van-lingen-833777,2022-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,2,-
PA van Meekeren,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,2022-2022,8,8,186,-,198,11,3/29,18.00,6.38,16.9,-,-,3,-
Vikramjit Singh,https://www.espncricinfo.com/cricketers/vikramjit-singh-1153767,2022-2022,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-
MS Wade,https://www.espncricinfo.com/cricketers/matthew-wade-230193,2022-2022,4,-,0,-,-,-,-,0.00,-,-,-,-,2,1
DA Warner,https://www.espncricinfo.com/cricketers/david-warner-219889,2022-2022,4,-,0,-,-,-,-,0.00,-,-,-,-,3,-
MRJ Watt,https://www.espncricinfo.com/cricketers/mark-watt-659081,2022-2022,3,3,72,-,70,5,3/12,14.00,5.83,14.4,-,-,-,-
BTJ Wheal,https://www.espncricinfo.com/cricketers/brad-wheal-807535,2022-2022,3,3,72,-,83,4,2/32,20.75,6.91,18.0,-,-,1,-
D Wiese,https://www.espncricinfo.com/cricketers/david-wiese-221140,2022-2022,3,3,63,-,65,3,2/16,21.66,6.19,21.0,-,-,-,-
SC Williams,https://www.espncricinfo.com/cricketers/sean-williams-55870,2022-2022,8,7,108,-,111,5,2/9,22.20,6.16,21.6,-,-,2,-
KS Williamson,https://www.espncricinfo.com/cricketers/kane-williamson-277906,2022-2022,5,-,0,-,-,-,-,0.00,-,-,-,-,4,-
CR Woakes,https://www.espncricinfo.com/cricketers/chris-woakes-247235,2022-2022,6,6,120,-,172,5,2/33,34.40,8.60,24.0,-,-,2,-
MA Wood,https://www.espncricinfo.com/cricketers/mark-wood-351588,2022-2022,4,4,84,-,108,9,3/26,12.00,7.71,9.3,-,-,-,-
SA Yadav,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,2022-2022,6,-,0,-,-,-,-,0.00,-,-,-,-,6,-
Yasir Ali,https://www.espncricinfo.com/cricketers/yasir-ali-629059,2022-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,3,-
Zahoor Khan,https://www.espncricinfo.com/cricketers/zahoor-khan-384525,2022-2022,3,3,72,-,57,5,2/20,11.40,4.75,14.4,-,-,-,-
A Zampa,https://www.espncricinfo.com/cricketers/adam-zampa-379504,2022-2022,3,3,72,-,80,5,2/19,16.00,6.66,14.4,-,-,-,-
Zawar Farid,https://www.espncricinfo.com/cricketers/zawar-farid-1196500,2022-2022,1,1,17,-,24,-,-,0.00,8.47,-,-,-,-,-
